epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9349,2.70901,4.12276,1.6332,0.00632,0.59783,0.01077,0.00344,2.73372,4.26429,1.50361,0.0001,0.0001,0.0001
2,101.964,2.23882,3.24895,1.35223,0.00782,0.73913,0.11548,0.03372,2.2742,3.93176,1.31653,0.00017644,0.00017644,0.00017644
3,149.563,2.16033,2.27578,1.24325,0.00786,0.74275,0.1578,0.04892,2.14292,3.74375,1.28215,0.00020536,0.00020536,0.00020536
4,205.139,2.08547,1.98258,1.26275,0.0074,0.69928,0.12864,0.03957,1.96747,3.67743,1.23976,0.00018676,0.00018676,0.00018676
5,254.242,1.99367,1.8818,1.24918,0.0069,0.65217,0.11994,0.03762,1.9457,3.64592,1.24813,0.00012064,0.00012064,0.00012064
